,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUILD_UP_INDEX,fireweather_index,Classes
85,27.2,28.0,1.3,0.0,93.5,85.3,395.0,9.9,110.78832716810521,5801.012144658222,1
86,25.77,61.18,10.88,0.0,72.35,25.48,97.48,2.34,30.820081896016873,302.7880040668326,0
87,30.05,37.21,18.89,0.13,91.1,206.14,588.86,6.19,219.8632513742857,8145.90426876964,1
88,20.56,56.85,17.09,1.64,61.46,28.87,141.1,0.6,38.200042199038805,100.03000087698761,0
89,33.09,15.0,1.87,1.11,90.4,57.74,816.57,8.43,98.1325225825251,4280.625539723346,1
90,26.53,49.81,2.59,0.19,87.79,98.36,860.6,17.83,153.00246904654315,15294.259474520066,1
91,28.36,48.6,15.86,2.37,55.44,10.3,6.9,1.1,4.353445635528331,14.122341538365104,0
92,16.76,64.02,6.4,0.22,92.17,38.35,471.06,16.66,63.72917883002461,5082.116276025849,1
93,10.4,75.0,0.9,0.0,92.0,203.2,664.5,8.1,230.32221748400855,11260.547851409667,1
94,35.69,65.16,13.99,1.82,82.1,7.07,56.06,1.33,10.75050383128772,49.63831487609948,0
95,26.88,67.27,15.93,7.43,56.17,8.94,58.85,1.65,12.9585960591133,76.77514637104476,0
96,24.3,36.42,8.15,0.0,91.93,94.99,7.9,10.01,6.116523688232299,191.9868124674306,1
97,21.6,65.0,4.9,0.8,96.1,181.1,671.2,14.3,216.2984474398327,18458.830201938905,1
98,21.01,21.73,8.96,0.16,93.0,139.06,860.6,7.63,198.09648003310573,8878.220178063168,1
99,39.33,42.85,6.85,0.0,91.18,153.17,860.6,10.01,212.0071602903038,12619.107705943316,1
100,26.21,52.81,19.85,2.72,68.03,0.7,118.56,1.35,1.3796359404870746,4.463826047963494,0
101,38.16,69.69,18.59,2.93,58.74,15.26,19.34,0.59,10.267121238476255,20.856011560955693,0
102,32.38,70.24,16.08,2.43,80.89,27.63,27.4,1.14,15.694470069966309,66.50344777111684,0
103,14.51,77.55,17.8,4.01,46.64,0.7,155.55,1.4,1.3844246662428479,4.648126615969637,0
104,26.69,34.85,3.42,0.3,85.89,32.23,860.6,11.44,58.941510346109915,3182.41791776183,1
105,16.24,71.24,0.4,0.54,84.87,3.0,134.65,5.31,5.683432993316919,93.38598620339026,1
106,7.61,57.29,9.02,0.5,92.48,13.54,860.6,9.29,26.05517133433954,985.9036663924069,1
107,27.19,28.65,13.52,1.06,93.24,9.13,107.4,9.91,15.059504703397966,550.6046987158558,1
108,18.25,92.37,21.13,1.84,74.96,28.92,6.9,2.2,5.03909090909091,33.567553932220285,0
109,24.15,73.96,8.97,0.0,40.78,0.7,6.9,1.23,1.1167630057803468,3.1688846610954613,0
110,11.0,46.0,5.8,0.0,87.6,52.2,103.8,5.0,46.25147247119079,1044.724373304054,1
111,31.97,48.11,14.57,0.0,44.83,11.17,6.9,2.31,4.426302943287868,30.24369958388617,0
112,28.0,79.0,18.0,0.1,73.4,16.4,79.9,1.8,21.6767576509512,153.73451418012036,0
113,21.38,15.0,10.57,0.31,87.64,3.0,417.77,7.42,5.89418487078797,136.22538214143552,1
114,20.84,47.87,4.9,0.0,96.2,90.27,860.6,12.04,143.03258751237024,9538.030071809104,1
115,10.3,74.0,2.2,0.0,91.5,145.4,608.2,10.7,182.01560152310384,11266.294333904061,1
116,8.57,48.93,9.83,0.8,80.86,106.57,719.76,3.37,155.5586896981804,2947.824020744774,1
117,15.01,33.81,8.33,0.75,87.44,90.44,178.87,8.3,79.89235153221226,3306.2198816026576,1
118,23.35,76.92,11.87,0.0,68.36,18.83,6.9,1.13,4.814339972209357,16.337429621844,0
119,23.41,67.6,19.29,2.62,75.66,4.39,148.46,0.38,8.175612632107129,10.265494264739125,0
120,32.05,59.96,16.87,1.34,65.34,0.7,6.9,1.43,1.1167630057803468,3.6841504596475683,0
121,39.85,53.7,10.7,1.03,93.62,25.77,588.44,4.17,46.45401055348349,875.8060000683787,1
122,22.97,88.07,13.7,2.41,75.84,0.7,24.99,1.83,1.3083769633507851,5.683766495461128,0
123,37.95,61.73,14.35,1.36,71.96,24.3,6.9,1.57,4.956984478935699,23.494941811443613,0
124,17.1,32.94,1.02,0.0,89.78,166.69,681.6,8.69,206.88940705164683,10643.556474145853,1
125,31.88,47.4,15.92,1.15,84.86,207.37,593.85,1.9,221.43206401294646,2521.4328886900203,1
126,24.71,67.55,14.63,0.51,60.34,0.7,46.5,0.27,1.3492227979274611,0.8695793805192765,0
127,20.2,73.24,17.31,2.76,57.16,0.7,39.82,0.18,1.341063266778927,0.575583204676659,0
128,32.0,81.0,17.0,0.0,84.6,21.1,42.3,4.7,18.780220936349295,338.8912487544952,1
129,21.18,15.0,0.4,0.09,92.11,118.32,231.74,6.18,103.95221897865565,3358.9589348087025,1
130,39.0,36.61,16.07,0.0,41.0,0.7,208.55,2.37,1.388349976224441,7.89495778620098,0
131,26.4,35.0,2.7,0.0,93.0,103.8,316.7,10.8,114.10433877125998,6552.576574845778,1
132,23.95,65.12,13.37,1.27,45.37,20.37,33.31,1.66,16.11027957499852,99.87422580022023,0
133,22.11,43.86,12.38,2.16,53.2,25.89,6.9,2.48,4.9882303664921475,37.389345644132526,0
134,20.75,35.72,9.34,0.0,71.58,3.38,88.18,1.41,6.168858532546828,27.31645796019904,0
135,21.74,36.87,0.4,0.19,91.17,185.7,521.57,13.12,196.4974315798016,15120.984203831704,1
136,18.0,51.0,5.4,0.0,91.6,108.4,764.0,6.2,160.03400966183577,5607.954829785895,1
137,11.58,27.31,12.1,0.0,85.68,57.58,248.81,1.9,72.95284550361545,679.8639247271475,1
138,32.0,63.0,14.0,0.0,87.0,10.9,37.0,5.6,12.554085603112838,250.99561958344398,1
139,38.63,37.92,15.95,0.0,89.93,8.72,255.53,1.9,16.069098907438793,113.96900909724087,0
140,25.72,54.3,9.92,8.98,57.79,0.7,21.15,2.4,1.2930131004366814,7.350900764419205,0
141,18.89,43.43,1.23,0.91,93.8,61.79,85.18,1.9,43.923742045857594,373.51806068322077,1
142,32.9,62.18,13.31,4.43,82.1,8.85,221.9,2.23,16.095195164429875,134.02010261192166,1
143,2.2,64.76,0.4,0.39,88.47,70.35,200.26,8.21,74.9108219123453,3031.0270978687267,1
144,18.9,73.0,7.17,0.0,90.39,165.48,652.55,3.34,202.54907198124263,3989.7308849671517,1
145,23.42,48.89,13.27,0.0,86.83,78.08,397.99,6.53,104.77270082098484,3582.2839061024024,1
146,30.0,43.2,6.42,0.06,88.71,68.63,493.62,1.9,101.85626951495426,1008.1549720089674,1
147,28.0,41.37,10.56,0.21,91.14,27.58,672.18,5.67,50.02826602620323,1299.7421741427117,1
148,29.46,42.16,3.73,0.29,92.3,96.18,454.61,9.66,125.81472045578802,6577.372133607699,1
149,21.4,81.77,11.25,7.25,81.1,0.7,6.9,0.72,1.1167630057803468,1.8549568747875869,0
150,29.02,67.25,7.4,6.28,82.1,18.62,6.9,0.21,4.807408793264733,3.0310001119251813,0
151,26.96,49.21,15.08,1.7,31.24,12.83,177.03,1.11,21.723965471892114,95.0467233032858,0
152,33.24,32.17,10.53,1.48,66.43,3.53,61.9,1.04,6.17905973842347,20.18764709543545,0
153,18.67,36.95,13.52,1.7,37.33,0.7,6.9,1.69,1.1167630057803468,4.353995997765308,0
154,30.99,70.36,5.9,2.17,80.5,26.44,89.85,1.26,30.466611093299136,160.83463342786456,1
155,31.72,71.13,21.1,0.0,80.11,12.64,118.94,0.08,19.973450245781855,6.203448060338618,0
156,15.34,28.19,0.4,0.78,88.1,77.71,404.15,14.25,104.9638517775828,7834.227457661284,1
157,17.34,54.39,12.02,0.0,92.56,36.13,860.6,10.91,65.39627836054369,3431.097766312109,1
158,23.85,88.91,12.98,2.34,56.64,4.38,6.9,1.01,3.386218487394958,9.638814147450423,0
159,13.8,24.0,5.8,0.0,93.4,17.3,28.3,9.9,13.685255066387143,491.2960933526761,1
160,28.25,82.15,5.27,3.36,42.49,17.25,11.69,0.98,7.3575663595731084,23.376137165295205,0
161,11.92,54.94,4.21,0.15,87.9,134.99,199.49,2.04,100.3013421731398,1062.9603143794695,1
162,35.53,60.16,14.94,0.03,73.15,9.67,6.9,2.75,4.294320193081256,34.74051080076148,0
163,25.23,80.72,9.49,2.0,82.1,0.7,88.69,0.0,1.372910216718266,0.0,1
164,27.8,21.0,10.61,0.73,86.79,225.15,353.66,14.37,173.7556099876164,14323.332107177994,1
165,29.4,67.66,14.97,3.25,57.19,24.98,56.57,2.27,23.745901529154764,215.90617263787698,0
166,30.58,36.18,7.14,0.01,93.04,3.0,429.24,9.08,5.896963868663279,166.79446637870282,1
167,28.14,57.68,4.48,0.3,92.18,134.78,7.9,18.57,6.175218210816298,360.20143470220705,1
168,19.84,51.09,3.62,0.0,93.74,145.37,189.18,3.64,99.53256521385076,1879.5056551250595,1
169,28.6,67.44,5.05,0.04,91.97,3.0,7.9,8.97,3.0779220779220786,76.48127098158044,1
170,17.1,61.74,15.82,0.16,82.1,18.53,6.9,2.16,4.804396430248943,31.152941606236055,0
171,18.8,55.93,13.7,2.05,64.14,4.96,94.16,0.53,8.765645645645645,15.54525022579721,0
172,22.14,54.46,10.74,0.0,71.78,9.04,67.49,0.68,13.544446664446662,33.336096976332065,0
173,14.22,77.41,18.03,0.0,69.59,38.65,191.88,1.37,51.41097727942324,324.31877087483224,0
174,30.02,49.36,11.7,0.2,94.83,48.03,860.6,5.12,84.29830066025953,2172.925611136566,1
175,15.82,23.04,6.39,0.0,92.26,18.86,697.01,3.7,35.330059664588255,562.521968945209,1
176,23.41,53.72,6.99,0.0,89.26,16.3,403.36,1.9,29.608736574272136,234.4874660676194,1
177,17.56,37.09,9.09,0.32,89.53,3.0,531.39,10.36,5.916495017536048,191.05163438279132,1
178,17.42,35.33,0.7,0.27,95.23,111.52,406.81,12.01,132.34185965782297,8680.574211372068,1
179,31.49,28.17,2.96,0.0,93.48,173.1,384.7,8.75,162.92512080249554,8083.510476316344,1
180,40.0,34.0,14.0,0.0,93.3,10.8,21.4,13.8,9.550413223140495,447.8782230076916,1
181,18.1,54.0,3.1,0.0,92.1,87.7,721.1,9.5,134.5041101717446,6999.026716762149,1
182,29.0,70.0,14.0,0.0,82.8,9.4,34.1,3.2,11.129861111111113,124.42122976191762,1
183,18.65,51.58,3.66,0.0,88.11,3.0,483.88,14.47,5.908421181163255,266.41547115238194,1
184,24.88,62.32,7.51,0.0,88.7,81.63,546.66,8.44,118.8804459629563,5374.686026205644,1
185,34.03,79.32,16.07,2.01,68.45,0.7,48.38,1.49,1.3511270696189903,4.806786248236313,0
186,31.54,53.64,3.24,0.41,88.93,108.31,860.6,14.81,164.77575693293562,13865.56517740529,1
187,19.47,67.78,14.59,3.83,62.68,20.86,6.9,1.9,4.874987298899238,27.878977536719347,0
188,27.78,87.2,16.77,5.05,76.69,23.18,6.9,2.83,4.932675404780262,42.10569175255849,0
189,26.0,49.0,6.0,2.0,61.3,11.9,28.1,0.6,11.560587726879863,24.398440956613566,0
190,29.65,100.0,10.61,1.07,69.54,2.37,6.9,1.3,2.550175438596491,8.877189122906902,0
191,14.72,30.3,3.79,0.63,90.16,277.17,761.03,12.82,290.1529759861894,23407.459356927702,1
192,24.6,65.58,13.45,3.6,71.19,8.06,112.66,1.63,13.674265492056321,80.81349038331949,0
193,30.21,71.86,8.88,0.0,76.39,12.85,35.36,0.73,13.465985033711197,35.542680862431666,0
194,27.0,87.0,29.0,0.5,45.9,3.5,7.9,0.4,3.3213213213213217,3.7311385146746154,0
195,20.6,55.0,5.4,0.0,90.5,96.7,750.5,11.4,146.28037288989674,9273.592051131223,1
196,28.55,84.03,5.93,0.21,89.0,134.11,520.34,6.86,163.11728382508488,6346.296968853186,1
197,29.38,83.45,13.35,5.3,72.95,0.7,6.9,1.21,1.1167630057803468,3.1173580812402504,0
198,20.82,53.13,4.85,0.0,93.97,88.28,22.53,6.77,16.354466143156685,414.6163560491094,1
199,19.62,24.09,4.37,0.0,90.8,74.71,7.9,15.36,6.063531526903815,291.586542617831,1
200,19.71,48.7,10.88,0.0,46.11,0.7,6.9,0.5,1.1167630057803468,1.2881644963802688,0
201,35.52,61.43,11.71,2.0,67.07,13.78,9.23,2.12,5.823690476190476,38.372617898945016,0
202,37.52,89.5,12.58,0.36,66.45,19.84,172.15,0.59,30.804563697857947,76.29860845247254,0
203,14.11,80.62,9.39,0.0,59.13,11.52,46.32,1.2,14.206773162939296,62.239109122390595,0
204,26.25,31.44,11.84,0.04,95.02,126.57,735.02,10.99,176.95929202193173,11193.130004032339,1
205,15.03,49.87,2.83,0.0,90.27,3.0,437.21,13.51,5.898810460749702,248.26280298698492,1
206,21.29,71.52,14.71,4.88,82.1,5.32,6.9,1.28,3.6344554455445546,13.279499590506102,1
207,16.09,15.0,0.4,0.0,91.7,239.68,352.92,17.63,177.6832029576104,18042.60168010425,1
208,28.57,76.31,8.48,3.31,59.63,8.04,233.13,1.38,14.803658334320577,75.13817517032797,0
209,28.89,91.39,13.87,5.46,77.24,21.97,6.9,0.87,4.903938536190862,12.855179140654592,0
210,29.06,66.4,16.28,0.78,81.84,27.37,6.9,0.58,5.014351145038168,8.798361281465017,0
211,27.18,34.31,16.35,0.95,82.1,19.44,55.05,1.06,20.64972503617945,85.49095404167144,1
212,36.58,15.0,0.52,1.59,87.04,57.62,860.6,9.42,98.71651221818546,4816.953727285562,1
213,25.1,67.5,4.66,0.54,95.07,10.75,105.29,7.34,17.12809745394015,474.7328727759824,1
214,5.27,53.98,4.13,0.0,93.01,68.86,520.46,4.73,103.48933916634181,2557.345538151204,1
215,33.19,47.12,21.76,3.56,61.44,0.7,144.02,2.62,1.3831927008300746,8.68949994188514,1
216,27.8,32.0,2.7,0.0,81.6,56.7,665.6,1.9,93.48986189385028,911.1418538262228,1
217,39.0,65.11,17.87,0.0,66.48,5.71,6.9,0.58,3.721275088547816,6.187319150490875,0
218,26.72,41.05,12.39,0.38,92.88,3.0,734.85,7.36,5.939381693271369,136.3478097247102,1
219,19.5,39.0,6.3,0.0,91.4,142.4,601.4,10.6,178.8998537706288,10935.816097125473,1
220,15.2,19.0,7.6,0.0,93.4,15.0,25.6,11.4,12.171156893819335,492.60827568308105,1
221,28.44,42.84,2.4,0.0,89.91,57.89,740.23,6.51,96.84540954059813,3254.5569164771905,1
222,14.25,40.25,0.4,0.36,89.52,99.88,544.41,6.8,136.9474526199141,5117.436078382958,1
223,30.17,79.28,16.12,4.87,46.85,0.7,158.94,0.99,1.3847532516024643,3.2878104768243444,0
224,28.78,73.91,7.7,4.62,79.14,5.73,108.95,1.26,10.128306631514908,43.829949717781226,0
225,15.69,32.65,6.42,0.47,91.73,184.16,523.47,8.4,195.9653921757956,9650.181885486334,1
226,20.07,55.84,16.48,1.16,91.43,3.0,650.52,9.85,5.931613020880824,182.19462742893643,1
227,17.84,39.84,2.16,0.76,91.73,142.92,592.0,5.58,178.25479827241125,5732.2833045316065,1
228,24.43,69.82,15.38,0.23,68.83,9.92,6.9,2.02,4.3184858044164045,25.68808865935786,0
229,23.7,30.08,0.4,0.3,91.91,160.56,737.31,8.08,207.92386753431515,9954.865093155995,1
230,33.86,73.09,11.42,3.04,71.1,9.53,15.01,0.46,7.366823741470323,10.988771751875188,0
231,17.58,15.0,14.72,0.6,93.84,166.04,454.02,8.46,173.47542525773193,8416.47597830975,1
232,27.58,72.55,4.55,4.51,40.63,0.7,118.09,0.98,1.379556074766355,3.2401856191934146,0
233,31.0,65.0,18.0,0.0,84.3,12.5,88.7,4.8,18.486869528970406,339.7288374312437,1
234,31.0,62.0,15.0,0.0,83.3,5.8,17.7,3.8,6.37639751552795,76.55138332249919,1
235,31.42,75.59,9.7,0.24,75.27,14.95,162.83,2.39,24.318158887140683,233.80062139362707,0
236,27.28,46.2,5.58,0.0,86.75,41.13,350.43,6.64,63.598574312473126,2020.6260143358786,1
237,25.0,89.0,13.0,2.5,28.6,1.3,6.9,0.0,1.767487684729064,0.0,0
238,26.27,46.9,19.42,0.9,82.1,5.48,92.31,0.22,9.543605320252809,7.134079675465293,1
239,15.52,86.41,10.8,4.2,62.45,24.8,120.35,1.73,32.73572799561284,240.37183284748647,0
240,10.42,16.95,6.73,0.47,90.94,154.47,587.46,12.82,186.40444560846723,13883.550202246313,1
241,28.24,62.63,15.72,7.4,63.45,21.98,105.26,1.05,28.882277011422506,125.84031178164358,0
242,20.18,92.2,14.25,2.15,79.69,10.0,202.72,1.13,17.80432109608291,76.5037962684482,0
243,21.0,32.0,3.1,0.0,92.1,152.6,658.2,14.3,193.2121188804463,16156.161278351483,1
244,39.0,36.26,16.19,3.5,54.56,8.08,6.9,0.89,4.1145387453874545,10.689764619237309,0
245,25.26,57.99,10.57,0.0,90.61,246.28,711.04,13.43,263.97776685710835,21931.691885453165,1
246,24.16,34.76,11.0,0.31,85.0,239.29,149.75,8.5,95.81517430395402,4196.109166401362,1
247,32.91,37.46,5.29,0.0,86.11,41.0,7.9,12.49,5.867753623188407,228.093237245773,1
248,23.34,45.99,11.72,0.0,87.57,148.21,709.25,8.03,194.70341969391774,9155.025651251934,1
249,29.4,15.0,9.74,0.81,87.8,24.0,503.98,13.01,42.89343593744459,2486.945845078397,1
250,18.4,25.0,3.1,0.0,90.6,43.7,686.9,6.7,75.40671983922627,2492.895738850713,1
251,27.88,46.97,12.66,0.53,70.82,0.7,32.84,3.0,1.329170280427869,9.492705437369853,1
252,25.87,69.75,5.17,2.92,75.54,0.7,97.03,2.71,1.3751974083822631,8.92669623933732,1
253,14.82,48.01,1.23,0.0,94.56,104.08,772.9,2.21,155.73213048107638,1935.6873769249041,1
254,21.31,44.31,15.46,3.4,41.38,8.02,53.98,0.0,11.695788193975416,0.0,0
255,17.72,26.22,12.27,0.9,94.21,3.0,183.38,17.25,5.764249790444259,308.47150210751454,1
256,30.92,100.0,13.63,0.0,75.58,11.91,50.82,2.26,15.019944165270799,125.17746511294959,0
257,14.75,68.41,0.4,0.0,87.93,158.53,368.74,12.16,152.81408037225597,10415.474255811716,1
258,10.0,62.22,5.44,0.0,93.94,44.24,7.9,6.45,5.898666666666667,118.52324204239588,1
259,32.77,70.04,7.36,4.38,82.1,17.79,10.95,1.44,7.029336941813261,32.54709670902224,0
260,18.66,62.13,8.71,0.0,87.68,132.99,298.38,2.51,125.80246237249446,1708.8307750171668,1
261,39.0,54.46,15.82,2.04,44.93,28.1,72.01,1.31,28.447645156755243,154.21555999337824,0
262,24.28,69.29,14.95,0.0,64.32,5.28,25.14,0.65,6.924319248826291,14.432647107504934,0
263,29.0,87.0,18.0,0.0,80.0,11.8,28.3,2.8,11.555017301038063,113.79462960286476,0
264,40.33,67.01,10.61,0.44,90.81,3.0,7.9,5.03,3.0779220779220786,42.88749086258078,1
